Kegiatan Utama,Penduduk 15 tahun keatas - Laki-Laki,Penduduk 15 tahun keatas - Perempuan,Penduduk 15 tahun keatas - Laki-Laki + Perempuan
I. Angkatan Kerja/Economically Active,87762583,55960061,143722644
    1. Bekerja/Working,82553960,52742753,135296713
    2. Pengangguran Terbuka/Unemployment,5208623,3217308,8425931
II. Bukan Angkatan Kerja/Not Economically Active,16873668,48824071,65697739
    1. Sekolah/Attending School,7548454,8061085,15609539
    2. Mengurus Rumah tangga/Housekeeping,3621185,37628780,41249965
    3. Lainnya/Others,5704029,3134206,8838235
Jumlah/Total,104636251,104784132,209420383
,,,
Keterangan,,,
-,,,
