Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2024,2024
ACEH,80.68,49.62
Simeulue,83.7,58.02
Aceh Singkil,76.25,39.11
Aceh Selatan,75.9,42.68
Aceh Tenggara,84.75,56.27
Aceh Timur,82.94,38.86
Aceh Tengah,87.23,67.4
Aceh Barat,73.18,47.15
Aceh Besar,82.41,51.59
Pidie,79.09,45.64
Bireuen,80.74,54.36
Aceh Utara,76.33,42.04
Aceh Barat Daya,83.08,37.63
Gayo Lues,87.06,71.43
Aceh Tamiang,85.19,53.99
Nagan Raya,84.63,43
Aceh Jaya,83.56,58.01
Bener Meriah,89.18,78.39
Pidie Jaya,76.32,43.9
Kota Banda Aceh,77.17,53.01
Kota Sabang,81.57,54.71
Kota Langsa,74.78,45.38
Kota Lhokseumawe,79.44,50.25
Kota Subulussalam,85.98,50.87
SUMATERA UTARA,84.25,58.54
Nias,82.37,82.52
Mandailing Natal,77.52,51.63
Tapanuli Selatan,82.29,69.01
Tapanuli Tengah,84.62,66.75
Tapanuli Utara,85.91,81.48
Toba Samosir / Toba,88.17,77.05
Labuhan Batu,82.82,47.66
Asahan,84.09,50.98
Simalungun,79.95,62.63
Dairi,87.79,79.86
Karo,89.61,78.82
Deli Serdang,85.69,49.47
Langkat,90.74,61.74
Nias Selatan,84.2,73.44
Humbang Hasundutan,88.46,84.6
Pakpak Bharat,89.91,80.89
Samosir,90.55,80.73
Serdang Bedagai,83.95,51.5
Batu Bara,89.52,54.6
Padang Lawas Utara,81.95,63.72
Padang Lawas,89.15,65.86
Labuhan Batu Selatan,87.22,55.86
Labuhan Batu Utara,85.45,43.87
Nias Utara,86.23,73.37
Nias Barat,84.66,78.02
Kota Sibolga,80.56,61.1
Kota Tanjung Balai,84.25,54.55
Kota Pematang Siantar,83.37,60.73
Kota Tebing Tinggi,82.19,51.3
Kota Medan,81.11,52.15
Kota Binjai,79.67,49.12
Kota Padangsidimpuan,80,56.85
Kota Gunungsitoli,81.61,61.45
SUMATERA BARAT,82.75,57.75
Kepulauan Mentawai,86.66,80.01
Pesisir Selatan,83.7,48.31
Solok,86.63,66.93
Sijunjung,82.89,57.26
Tanah Datar,83.46,58.91
Padang Pariaman,76.8,57.53
Agam,80.99,57.84
Lima Puluh Kota,84.1,64.3
Pasaman,84.74,58.83
Solok Selatan,87.17,65.91
Dharmasraya,89.72,58.76
Pasaman Barat,84.4,49.48
Kota Padang,80.18,54.25
Kota Solok,79.77,62.54
Kota Sawah Lunto,83.7,63.35
Kota Padang Panjang,76.35,56.34
Kota Bukittinggi,82.67,57.48
Kota Payakumbuh,80.57,60.51
Kota Pariaman,80.54,59.2
RIAU,84.8,47.05
Kuantan Singingi,85.13,45.37
Indragiri Hulu,85.03,44.48
Indragiri Hilir,85.8,49.29
Pelalawan,88.4,44.74
Siak,86.21,46.91
Kampar,83.06,43.57
Rokan Hulu,88.42,47.03
Bengkalis,85.09,44.56
Rokan Hilir,85.85,44.31
Kepulauan Meranti,83.36,52.09
Kota Pekanbaru,80.58,53.92
Kota Dumai,84.75,44.8
JAMBI,86.04,51.17
Kerinci,88.64,66.71
Merangin,87.13,62.03
Sarolangun,87.17,48.41
Batang Hari,85.73,40.47
Muaro Jambi,89.04,50.6
Tanjung Jabung Timur,88.69,41.47
Tanjung Jabung Barat,86.55,47.76
Tebo,87.33,50.09
Bungo,85.79,49.82
Kota Jambi,81.18,51.59
Kota Sungai Penuh,79.44,53.3
SUMATERA SELATAN,85.79,55.35
Ogan Komering Ulu,84.94,56.98
Ogan Komering Ilir,88.03,50.5
Muara Enim,86.88,57.73
Lahat,85.02,60.39
Musi Rawas,89.56,59.03
Musi Banyuasin,86.04,52.71
Banyu Asin,87.78,41.94
Ogan Komering Ulu Selatan,92.37,66.58
Ogan Komering Ulu Timur,89.67,63.99
Ogan Ilir,88.71,67.11
Empat Lawang,85.96,69.56
Penukal Abab Lematang Ilir,88.09,69.85
Musi Rawas Utara,83.99,55.97
Kota Palembang,79.03,46.24
Kota Prabumulih,82.64,58.38
Kota Pagar Alam,88.35,67.43
Kota Lubuklinggau,82.51,59.92
BENGKULU,85.1,57.74
Bengkulu Selatan,86.53,61.98
Rejang Lebong,85.73,63.72
Bengkulu Utara,86.86,56.21
Kaur,85.89,56.42
Seluma,89.18,56.69
Mukomuko,85.79,45.95
Lebong,87.7,54.66
Kepahiang,86.84,65.56
Bengkulu Tengah,86.52,50.39
Kota Bengkulu,77.73,59.29
LAMPUNG,85.61,54.58
Lampung Barat,90.91,74.07
Tanggamus,87.83,52.43
Lampung Selatan,83.37,50.67
Lampung Timur,86.73,50.62
Lampung Tengah,85.62,60.96
Lampung Utara,82.23,50.44
Way Kanan,88.92,57.9
Tulangbawang,91.18,50.58
Pesawaran,86.32,54.13
Pringsewu,89.44,56.82
Mesuji,88.42,50.84
Tulang Bawang Barat,89.17,52.05
Pesisir Barat,86.12,57.58
Kota Bandar Lampung,79.91,52.19
Kota Metro,81.53,58.66
KEP. BANGKA BELITUNG,86.2,50.57
Bangka,84.55,50.26
Belitung,87.1,48.6
Bangka Barat,87.44,52.07
Bangka Tengah,88.18,50.98
Bangka Selatan,89.97,46.9
Belitung Timur,86.78,53.19
