region_name,tpak_male,tpak_female,year,admin_level
ACEH,80.03,48.24,2018,Province
Simeulue,79.73,48.24,2018,City_Regency
Aceh Singkil,80.54,45.24,2018,City_Regency
Aceh Selatan,83.95,48.05,2018,City_Regency
Aceh Tenggara,82.5,63.43,2018,City_Regency
Aceh Timur,83.0,48.72,2018,City_Regency
Aceh Tengah,82.18,62.34,2018,City_Regency
Aceh Barat,74.14,33.67,2018,City_Regency
Aceh Besar,75.64,40.43,2018,City_Regency
Pidie,75.68,49.07,2018,City_Regency
Bireuen,82.36,48.45,2018,City_Regency
Aceh Utara,81.9,45.63,2018,City_Regency
Aceh Barat Daya,79.78,47.47,2018,City_Regency
Gayo Lues,86.97,69.32,2018,City_Regency
Aceh Tamiang,85.95,51.17,2018,City_Regency
Nagan Raya,81.97,38.89,2018,City_Regency
Aceh Jaya,86.18,53.22,2018,City_Regency
Bener Meriah,87.16,69.39,2018,City_Regency
Pidie Jaya,80.76,43.03,2018,City_Regency
Kota Banda Aceh,71.2,47.75,2018,City_Regency
Kota Sabang,81.9,48.76,2018,City_Regency
Kota Langsa,74.31,51.22,2018,City_Regency
Kota Lhokseumawe,76.22,39.16,2018,City_Regency
Kota Subulussalam,76.41,41.51,2018,City_Regency
SUMATERA UTARA,84.21,59.97,2018,Province
Nias,85.29,78.35,2018,City_Regency
Mandailing Natal,83.0,64.89,2018,City_Regency
Tapanuli Selatan,86.63,67.65,2018,City_Regency
Tapanuli Tengah,86.46,64.73,2018,City_Regency
Tapanuli Utara,87.77,80.1,2018,City_Regency
Toba Samosir / Toba,84.84,75.29,2018,City_Regency
Labuhan Batu,83.91,52.0,2018,City_Regency
Asahan,84.79,50.77,2018,City_Regency
Simalungun,84.47,62.21,2018,City_Regency
Dairi,91.73,85.38,2018,City_Regency
Karo,87.26,81.23,2018,City_Regency
Deli Serdang,85.38,55.67,2018,City_Regency
Langkat,85.74,56.72,2018,City_Regency
Nias Selatan,83.25,75.44,2018,City_Regency
Humbang Hasundutan,92.23,89.82,2018,City_Regency
Pakpak Bharat,95.94,89.45,2018,City_Regency
Samosir,86.89,78.96,2018,City_Regency
Serdang Bedagai,85.1,51.74,2018,City_Regency
Batu Bara,85.93,53.16,2018,City_Regency
Padang Lawas Utara,90.03,68.34,2018,City_Regency
Padang Lawas,82.74,61.35,2018,City_Regency
Labuhan Batu Selatan,87.96,48.74,2018,City_Regency
Labuhan Batu Utara,85.19,54.13,2018,City_Regency
Nias Utara,83.18,76.68,2018,City_Regency
Nias Barat,90.99,90.75,2018,City_Regency
Kota Sibolga,83.42,65.75,2018,City_Regency
Kota Tanjung Balai,85.0,55.57,2018,City_Regency
Kota Pematang Siantar,77.21,56.13,2018,City_Regency
Kota Tebing Tinggi,83.47,54.43,2018,City_Regency
Kota Medan,78.9,54.06,2018,City_Regency
Kota Binjai,83.69,50.61,2018,City_Regency
Kota Padangsidimpuan,80.77,65.44,2018,City_Regency
Kota Gunungsitoli,77.94,59.67,2018,City_Regency
SUMATERA BARAT,80.66,54.81,2018,Province
Kepulauan Mentawai,82.39,66.79,2018,City_Regency
Pesisir Selatan,83.37,50.43,2018,City_Regency
Solok,82.23,55.09,2018,City_Regency
Sijunjung,80.0,56.97,2018,City_Regency
Tanah Datar,80.45,58.44,2018,City_Regency
Padang Pariaman,81.44,50.66,2018,City_Regency
Agam,80.91,56.94,2018,City_Regency
Lima Puluh Kota,83.65,62.96,2018,City_Regency
Pasaman,80.8,54.03,2018,City_Regency
Solok Selatan,85.92,63.64,2018,City_Regency
Dharmasraya,85.47,50.1,2018,City_Regency
Pasaman Barat,79.25,54.55,2018,City_Regency
Kota Padang,76.12,49.61,2018,City_Regency
Kota Solok,79.59,50.43,2018,City_Regency
Kota Sawah Lunto,83.24,62.88,2018,City_Regency
Kota Padang Panjang,74.79,57.83,2018,City_Regency
Kota Bukittinggi,80.9,58.37,2018,City_Regency
Kota Payakumbuh,82.36,59.53,2018,City_Regency
Kota Pariaman,76.57,58.01,2018,City_Regency
RIAU,83.88,45.68,2018,Province
Kuantan Singingi,82.17,44.71,2018,City_Regency
Indragiri Hulu,86.45,48.9,2018,City_Regency
Indragiri Hilir,86.5,37.97,2018,City_Regency
Pelalawan,89.92,47.94,2018,City_Regency
Siak,86.36,45.37,2018,City_Regency
Kampar,80.72,45.18,2018,City_Regency
Rokan Hulu,86.29,42.92,2018,City_Regency
Bengkalis,85.06,45.93,2018,City_Regency
Rokan Hilir,86.88,38.86,2018,City_Regency
Kepulauan Meranti,82.65,54.14,2018,City_Regency
Kota Pekanbaru,78.16,52.74,2018,City_Regency
Kota Dumai,80.31,46.89,2018,City_Regency
JAMBI,84.08,51.69,2018,Province
Kerinci,80.95,61.54,2018,City_Regency
Merangin,86.94,51.43,2018,City_Regency
Sarolangun,83.25,50.33,2018,City_Regency
Batang Hari,84.17,44.84,2018,City_Regency
Muaro Jambi,86.38,39.64,2018,City_Regency
Tanjung Jabung Timur,86.62,55.44,2018,City_Regency
Tanjung Jabung Barat,88.81,60.73,2018,City_Regency
Tebo,86.49,53.35,2018,City_Regency
Bungo,84.6,48.77,2018,City_Regency
Kota Jambi,76.98,53.29,2018,City_Regency
Kota Sungai Penuh,83.92,58.98,2018,City_Regency
SUMATERA SELATAN,83.25,53.23,2018,Province
Ogan Komering Ulu,83.03,48.57,2018,City_Regency
Ogan Komering Ilir,84.2,55.67,2018,City_Regency
Muara Enim,84.39,60.12,2018,City_Regency
Lahat,86.19,62.34,2018,City_Regency
