region_name,year,tpak_rate_pct,gender_code
ACEH,2018,80.03,L
SUMATERA UTARA,2018,84.21,L
SUMATERA BARAT,2018,80.66,L
RIAU,2018,83.88,L
JAMBI,2018,84.08,L
SUMATERA SELATAN,2018,83.25,L
BENGKULU,2018,83.67,L
LAMPUNG,2018,87.03,L
KEP. BANGKA BELITUNG,2018,83.21,L
KEPULAUAN RIAU,2018,81.45,L
DKI JAKARTA,2018,78.14,L
JAWA BARAT,2018,82.96,L
JAWA TENGAH,2018,81.59,L
D I YOGYAKARTA,2018,82.57,L
JAWA TIMUR,2018,84.41,L
BANTEN,2018,80.85,L
BALI,2018,82.94,L
NUSA TENGGARA BARAT,2018,80.0,L
NUSA TENGGARA TIMUR,2018,83.0,L
KALIMANTAN BARAT,2018,84.09,L
KALIMANTAN TENGAH,2018,85.92,L
KALIMANTAN SELATAN,2018,84.22,L
KALIMANTAN TIMUR,2018,82.06,L
KALIMANTAN UTARA,2018,81.82,L
SULAWESI UTARA,2018,80.34,L
SULAWESI TENGAH,2018,84.98,L
SULAWESI SELATAN,2018,81.33,L
SULAWESI TENGGARA,2018,83.97,L
GORONTALO,2018,84.24,L
SULAWESI BARAT,2018,84.52,L
MALUKU,2018,77.5,L
MALUKU UTARA,2018,80.88,L
PAPUA BARAT,2018,80.71,L
PAPUA,2018,86.44,L
ACEH,2019,80.79,L
SUMATERA UTARA,2019,84.19,L
SUMATERA BARAT,2019,81.86,L
RIAU,2019,83.74,L
JAMBI,2019,84.16,L
SUMATERA SELATAN,2019,83.25,L
BENGKULU,2019,84.38,L
LAMPUNG,2019,86.24,L
KEP. BANGKA BELITUNG,2019,84.82,L
KEPULAUAN RIAU,2019,83.18,L
DKI JAKARTA,2019,80.44,L
JAWA BARAT,2019,83.25,L
JAWA TENGAH,2019,82.78,L
D I YOGYAKARTA,2019,81.85,L
JAWA TIMUR,2019,84.74,L
BANTEN,2019,81.73,L
BALI,2019,81.82,L
NUSA TENGGARA BARAT,2019,83.43,L
NUSA TENGGARA TIMUR,2019,81.31,L
KALIMANTAN BARAT,2019,83.59,L
KALIMANTAN TENGAH,2019,85.43,L
KALIMANTAN SELATAN,2019,83.22,L
KALIMANTAN TIMUR,2019,83.04,L
KALIMANTAN UTARA,2019,83.26,L
SULAWESI UTARA,2019,82.06,L
SULAWESI TENGAH,2019,84.65,L
SULAWESI SELATAN,2019,81.72,L
SULAWESI TENGGARA,2019,83.38,L
GORONTALO,2019,84.77,L
SULAWESI BARAT,2019,86.82,L
MALUKU,2019,77.28,L
MALUKU UTARA,2019,81.63,L
PAPUA BARAT,2019,80.66,L
PAPUA,2019,85.99,L
ACEH,2020,81.47,L
SUMATERA UTARA,2020,81.41,L
SUMATERA BARAT,2020,82.08,L
RIAU,2020,83.25,L
JAMBI,2020,84.96,L
SUMATERA SELATAN,2020,82.71,L
BENGKULU,2020,85.22,L
LAMPUNG,2020,85.41,L
KEP. BANGKA BELITUNG,2020,84.07,L
KEPULAUAN RIAU,2020,82.86,L
DKI JAKARTA,2020,80.49,L
JAWA BARAT,2020,81.9,L
JAWA TENGAH,2020,81.68,L
D I YOGYAKARTA,2020,78.2,L
JAWA TIMUR,2020,84.67,L
BANTEN,2020,81.7,L
BALI,2020,80.75,L
NUSA TENGGARA BARAT,2020,82.94,L
NUSA TENGGARA TIMUR,2020,82.64,L
KALIMANTAN BARAT,2020,83.35,L
KALIMANTAN TENGAH,2020,84.67,L
KALIMANTAN SELATAN,2020,82.91,L
KALIMANTAN TIMUR,2020,81.52,L
KALIMANTAN UTARA,2020,82.91,L
SULAWESI UTARA,2020,80.52,L
SULAWESI TENGAH,2020,85.82,L
SULAWESI SELATAN,2020,79.66,L
SULAWESI TENGGARA,2020,83.8,L
GORONTALO,2020,83.02,L
SULAWESI BARAT,2020,85.29,L
MALUKU,2020,76.49,L
MALUKU UTARA,2020,81.3,L
PAPUA BARAT,2020,80.36,L
PAPUA,2020,79.84,L
ACEH,2021,79.4,L
SUMATERA UTARA,2021,81.9,L
SUMATERA BARAT,2021,80.67,L
RIAU,2021,82.15,L
JAMBI,2021,83.91,L
SUMATERA SELATAN,2021,82.66,L
BENGKULU,2021,83.54,L
LAMPUNG,2021,85.55,L
KEP. BANGKA BELITUNG,2021,83.68,L
KEPULAUAN RIAU,2021,83.93,L
DKI JAKARTA,2021,78.31,L
JAWA BARAT,2021,81.68,L
JAWA TENGAH,2021,81.94,L
D I YOGYAKARTA,2021,82.83,L
JAWA TIMUR,2021,84.46,L
BANTEN,2021,80.16,L
BALI,2021,79.44,L
NUSA TENGGARA BARAT,2021,82.58,L
NUSA TENGGARA TIMUR,2021,82.53,L
KALIMANTAN BARAT,2021,83.05,L
KALIMANTAN TENGAH,2021,84.7,L
KALIMANTAN SELATAN,2021,83.55,L
KALIMANTAN TIMUR,2021,81.35,L
KALIMANTAN UTARA,2021,81.75,L
SULAWESI UTARA,2021,78.98,L
SULAWESI TENGAH,2021,84.78,L
SULAWESI SELATAN,2021,81.03,L
SULAWESI TENGGARA,2021,84.08,L
GORONTALO,2021,81.6,L
SULAWESI BARAT,2021,86.1,L
MALUKU,2021,77.66,L
MALUKU UTARA,2021,81.22,L
PAPUA BARAT,2021,80.53,L
PAPUA,2021,86.41,L
ACEH,2023,80.57,L
SUMATERA UTARA,2023,84.4,L
SUMATERA BARAT,2023,82.21,L
RIAU,2023,83.77,L
JAMBI,2023,85.27,L
SUMATERA SELATAN,2023,85.39,L
BENGKULU,2023,84.99,L
LAMPUNG,2023,87.3,L
KEP. BANGKA BELITUNG,2023,85.38,L
KEPULAUAN RIAU,2023,84.92,L
DKI JAKARTA,2023,80.25,L
JAWA BARAT,2023,84.63,L
JAWA TENGAH,2023,84.52,L
D I YOGYAKARTA,2023,83.76,L
JAWA TIMUR,2023,85.9,L
BANTEN,2023,82.16,L
BALI,2023,83.55,L
NUSA TENGGARA BARAT,2023,84.18,L
NUSA TENGGARA TIMUR,2023,83.03,L
KALIMANTAN BARAT,2023,84.85,L
KALIMANTAN TENGAH,2023,84.85,L
KALIMANTAN SELATAN,2023,85.52,L
KALIMANTAN TIMUR,2023,82.82,L
KALIMANTAN UTARA,2023,85.18,L
SULAWESI UTARA,2023,80.93,L
SULAWESI TENGAH,2023,85.42,L
SULAWESI SELATAN,2023,82.22,L
SULAWESI TENGGARA,2023,84.15,L
GORONTALO,2023,85.34,L
SULAWESI BARAT,2023,86.28,L
MALUKU,2023,74.34,L
MALUKU UTARA,2023,82.13,L
PAPUA BARAT,2023,79.21,L
PAPUA,2023,86.64,L
ACEH,2024,80.68,L
SUMATERA UTARA,2024,84.25,L
SUMATERA BARAT,2024,82.75,L
RIAU,2024,84.8,L
JAMBI,2024,86.04,L
SUMATERA SELATAN,2024,85.79,L
BENGKULU,2024,85.1,L
LAMPUNG,2024,85.61,L
KEP. BANGKA BELITUNG,2024,86.2,L
KEPULAUAN RIAU,2024,85.73,L
DKI JAKARTA,2024,79.95,L
JAWA BARAT,2024,84.51,L
JAWA TENGAH,2024,85.66,L
D I YOGYAKARTA,2024,83.27,L
JAWA TIMUR,2024,86.52,L
BANTEN,2024,82.95,L
BALI,2024,83.77,L
NUSA TENGGARA BARAT,2024,86.47,L
NUSA TENGGARA TIMUR,2024,84.7,L
KALIMANTAN BARAT,2024,86.05,L
KALIMANTAN TENGAH,2024,86.5,L
KALIMANTAN SELATAN,2024,84.71,L
KALIMANTAN TIMUR,2024,83.75,L
KALIMANTAN UTARA,2024,86.51,L
SULAWESI UTARA,2024,81.91,L
SULAWESI TENGAH,2024,85.94,L
SULAWESI SELATAN,2024,82.52,L
SULAWESI TENGGARA,2024,85.03,L
GORONTALO,2024,84.5,L
SULAWESI BARAT,2024,85.95,L
MALUKU,2024,76.62,L
MALUKU UTARA,2024,82.4,L
PAPUA BARAT,2024,81.42,L
PAPUA BARAT DAYA,2024,79.64,L
PAPUA,2024,79.01,L
PAPUA SELATAN,2024,82.39,L
PAPUA TENGAH,2024,85.03,L
PAPUA PEGUNUNGAN,2024,90.37,L
ACEH,2025,80.68,L
SUMATERA UTARA,2025,84.85,L
SUMATERA BARAT,2025,83.21,L
RIAU,2025,84.68,L
JAMBI,2025,85.6,L
SUMATERA SELATAN,2025,84.82,L
BENGKULU,2025,84.84,L
LAMPUNG,2025,86.4,L
KEP. BANGKA BELITUNG,2025,85.86,L
KEPULAUAN RIAU,2025,83.94,L
DKI JAKARTA,2025,79.66,L
JAWA BARAT,2025,84.41,L
JAWA TENGAH,2025,85.36,L
D I YOGYAKARTA,2025,83.9,L
JAWA TIMUR,2025,85.89,L
BANTEN,2025,81.96,L
BALI,2025,83.84,L
NUSA TENGGARA BARAT,2025,86.55,L
NUSA TENGGARA TIMUR,2025,82.52,L
KALIMANTAN BARAT,2025,85.32,L
KALIMANTAN TENGAH,2025,85.26,L
KALIMANTAN SELATAN,2025,84.48,L
KALIMANTAN TIMUR,2025,83.14,L
KALIMANTAN UTARA,2025,84.95,L
SULAWESI UTARA,2025,83.26,L
SULAWESI TENGAH,2025,86.02,L
SULAWESI SELATAN,2025,82.8,L
SULAWESI TENGGARA,2025,83.56,L
GORONTALO,2025,85.3,L
SULAWESI BARAT,2025,87.47,L
MALUKU,2025,77.45,L
MALUKU UTARA,2025,83.85,L
PAPUA BARAT,2025,80.03,L
PAPUA BARAT DAYA,2025,80.35,L
PAPUA,2025,75.97,L
PAPUA SELATAN,2025,78.24,L
PAPUA TENGAH,2025,80.58,L
PAPUA PEGUNUNGAN,2025,92.87,L
ACEH,2018,48.24,P
SUMATERA UTARA,2018,59.97,P
SUMATERA BARAT,2018,54.81,P
RIAU,2018,45.68,P
JAMBI,2018,51.69,P
SUMATERA SELATAN,2018,53.23,P
BENGKULU,2018,56.26,P
LAMPUNG,2018,51.22,P
KEP. BANGKA BELITUNG,2018,50.03,P
KEPULAUAN RIAU,2018,46.62,P
DKI JAKARTA,2018,47.86,P
JAWA BARAT,2018,42.25,P
JAWA TENGAH,2018,56.43,P
D I YOGYAKARTA,2018,64.03,P
JAWA TIMUR,2018,55.31,P
BANTEN,2018,44.3,P
BALI,2018,70.14,P
NUSA TENGGARA BARAT,2018,54.27,P
NUSA TENGGARA TIMUR,2018,60.9,P
KALIMANTAN BARAT,2018,53.07,P
KALIMANTAN TENGAH,2018,51.82,P
KALIMANTAN SELATAN,2018,54.98,P
KALIMANTAN TIMUR,2018,45.18,P
KALIMANTAN UTARA,2018,49.44,P
SULAWESI UTARA,2018,45.16,P
SULAWESI TENGAH,2018,53.91,P
SULAWESI SELATAN,2018,47.65,P
SULAWESI TENGGARA,2018,55.65,P
GORONTALO,2018,51.66,P
SULAWESI BARAT,2018,53.96,P
MALUKU,2018,50.05,P
MALUKU UTARA,2018,49.92,P
PAPUA BARAT,2018,52.15,P
PAPUA,2018,70.53,P
ACEH,2019,45.68,P
SUMATERA UTARA,2019,56.8,P
SUMATERA BARAT,2019,54.26,P
RIAU,2019,45.26,P
JAMBI,2019,46.74,P
SUMATERA SELATAN,2019,51.68,P
BENGKULU,2019,55.2,P
LAMPUNG,2019,50.95,P
KEP. BANGKA BELITUNG,2019,48.03,P
KEPULAUAN RIAU,2019,45.35,P
DKI JAKARTA,2019,47.62,P
JAWA BARAT,2019,46.33,P
JAWA TENGAH,2019,55.35,P
D I YOGYAKARTA,2019,63.95,P
JAWA TIMUR,2019,55.07,P
BANTEN,2019,45.21,P
BALI,2019,65.67,P
NUSA TENGGARA BARAT,2019,56.36,P
NUSA TENGGARA TIMUR,2019,59.74,P
KALIMANTAN BARAT,2019,52.92,P
KALIMANTAN TENGAH,2019,51.53,P
KALIMANTAN SELATAN,2019,54.05,P
KALIMANTAN TIMUR,2019,47.17,P
KALIMANTAN UTARA,2019,45.16,P
SULAWESI UTARA,2019,45.14,P
SULAWESI TENGAH,2019,50.33,P
SULAWESI SELATAN,2019,47.01,P
SULAWESI TENGGARA,2019,54.98,P
GORONTALO,2019,50.03,P
SULAWESI BARAT,2019,52.86,P
MALUKU,2019,50.5,P
MALUKU UTARA,2019,47.79,P
PAPUA BARAT,2019,53.03,P
PAPUA,2019,66.72,P
ACEH,2020,48.94,P
SUMATERA UTARA,2020,56.15,P
SUMATERA BARAT,2020,56.24,P
RIAU,2020,46.4,P
JAMBI,2020,50.04,P
SUMATERA SELATAN,2020,54.25,P
BENGKULU,2020,57.71,P
LAMPUNG,2020,54.13,P
KEP. BANGKA BELITUNG,2020,48.47,P
KEPULAUAN RIAU,2020,48.93,P
DKI JAKARTA,2020,47.47,P
JAWA BARAT,2020,46.79,P
JAWA TENGAH,2020,57.54,P
