region_name,tpak_male,tpak_female,year,admin_level
ACEH,80.03,48.24,2018,Province
SUMATERA UTARA,84.21,59.97,2018,Province
SUMATERA BARAT,80.66,54.81,2018,Province
RIAU,83.88,45.68,2018,Province
JAMBI,84.08,51.69,2018,Province
SUMATERA SELATAN,83.25,53.23,2018,Province
BENGKULU,83.67,56.26,2018,Province
LAMPUNG,87.03,51.22,2018,Province
KEP. BANGKA BELITUNG,83.21,50.03,2018,Province
KEPULAUAN RIAU,81.45,46.62,2018,Province
DKI JAKARTA,78.14,47.86,2018,Province
JAWA BARAT,82.96,42.25,2018,Province
JAWA TENGAH,81.59,56.43,2018,Province
D I YOGYAKARTA,82.57,64.03,2018,Province
JAWA TIMUR,84.41,55.31,2018,Province
BANTEN,80.85,44.3,2018,Province
BALI,82.94,70.14,2018,Province
NUSA TENGGARA BARAT,80.0,54.27,2018,Province
NUSA TENGGARA TIMUR,83.0,60.9,2018,Province
KALIMANTAN BARAT,84.09,53.07,2018,Province
KALIMANTAN TENGAH,85.92,51.82,2018,Province
KALIMANTAN SELATAN,84.22,54.98,2018,Province
KALIMANTAN TIMUR,82.06,45.18,2018,Province
KALIMANTAN UTARA,81.82,49.44,2018,Province
SULAWESI UTARA,80.34,45.16,2018,Province
SULAWESI TENGAH,84.98,53.91,2018,Province
SULAWESI SELATAN,81.33,47.65,2018,Province
SULAWESI TENGGARA,83.97,55.65,2018,Province
GORONTALO,84.24,51.66,2018,Province
SULAWESI BARAT,84.52,53.96,2018,Province
MALUKU,77.5,50.05,2018,Province
MALUKU UTARA,80.88,49.92,2018,Province
PAPUA BARAT,80.71,52.15,2018,Province
PAPUA BARAT DAYA,,,2018,Province
PAPUA,86.44,70.53,2018,Province
PAPUA SELATAN,,,2018,Province
PAPUA TENGAH,,,2018,Province
PAPUA PEGUNUNGAN,,,2018,Province
ACEH,80.79,45.68,2019,Province
SUMATERA UTARA,84.19,56.8,2019,Province
SUMATERA BARAT,81.86,54.26,2019,Province
RIAU,83.74,45.26,2019,Province
JAMBI,84.16,46.74,2019,Province
SUMATERA SELATAN,83.25,51.68,2019,Province
BENGKULU,84.38,55.2,2019,Province
LAMPUNG,86.24,50.95,2019,Province
KEP. BANGKA BELITUNG,84.82,48.03,2019,Province
KEPULAUAN RIAU,83.18,45.35,2019,Province
DKI JAKARTA,80.44,47.62,2019,Province
JAWA BARAT,83.25,46.33,2019,Province
JAWA TENGAH,82.78,55.35,2019,Province
D I YOGYAKARTA,81.85,63.95,2019,Province
JAWA TIMUR,84.74,55.07,2019,Province
BANTEN,81.73,45.21,2019,Province
BALI,81.82,65.67,2019,Province
NUSA TENGGARA BARAT,83.43,56.36,2019,Province
NUSA TENGGARA TIMUR,81.31,59.74,2019,Province
KALIMANTAN BARAT,83.59,52.92,2019,Province
KALIMANTAN TENGAH,85.43,51.53,2019,Province
KALIMANTAN SELATAN,83.22,54.05,2019,Province
KALIMANTAN TIMUR,83.04,47.17,2019,Province
KALIMANTAN UTARA,83.26,45.16,2019,Province
SULAWESI UTARA,82.06,45.14,2019,Province
SULAWESI TENGAH,84.65,50.33,2019,Province
SULAWESI SELATAN,81.72,47.01,2019,Province
SULAWESI TENGGARA,83.38,54.98,2019,Province
GORONTALO,84.77,50.03,2019,Province
SULAWESI BARAT,86.82,52.86,2019,Province
MALUKU,77.28,50.5,2019,Province
MALUKU UTARA,81.63,47.79,2019,Province
PAPUA BARAT,80.66,53.03,2019,Province
PAPUA BARAT DAYA,,,2019,Province
PAPUA,85.99,66.72,2019,Province
PAPUA SELATAN,,,2019,Province
PAPUA TENGAH,,,2019,Province
PAPUA PEGUNUNGAN,,,2019,Province
ACEH,81.47,48.94,2020,Province
SUMATERA UTARA,81.41,56.15,2020,Province
SUMATERA BARAT,82.08,56.24,2020,Province
RIAU,83.25,46.4,2020,Province
JAMBI,84.96,50.04,2020,Province
SUMATERA SELATAN,82.71,54.25,2020,Province
BENGKULU,85.22,57.71,2020,Province
LAMPUNG,85.41,54.13,2020,Province
KEP. BANGKA BELITUNG,84.07,48.47,2020,Province
KEPULAUAN RIAU,82.86,48.93,2020,Province
DKI JAKARTA,80.49,47.47,2020,Province
JAWA BARAT,81.9,46.79,2020,Province
JAWA TENGAH,81.68,57.54,2020,Province
D I YOGYAKARTA,78.2,64.33,2020,Province
JAWA TIMUR,84.67,56.56,2020,Province
BANTEN,81.7,46.62,2020,Province
BALI,80.75,67.86,2020,Province
NUSA TENGGARA BARAT,82.94,58.66,2020,Province
NUSA TENGGARA TIMUR,82.64,63.91,2020,Province
KALIMANTAN BARAT,83.35,53.86,2020,Province
KALIMANTAN TENGAH,84.67,50.57,2020,Province
KALIMANTAN SELATAN,82.91,55.5,2020,Province
KALIMANTAN TIMUR,81.52,47.96,2020,Province
KALIMANTAN UTARA,82.91,47.62,2020,Province
SULAWESI UTARA,80.52,45.68,2020,Province
SULAWESI TENGAH,85.82,52.5,2020,Province
SULAWESI SELATAN,79.66,48.16,2020,Province
SULAWESI TENGGARA,83.8,56.02,2020,Province
GORONTALO,83.02,49.95,2020,Province
SULAWESI BARAT,85.29,55.02,2020,Province
MALUKU,76.49,53.52,2020,Province
MALUKU UTARA,81.3,46.57,2020,Province
PAPUA BARAT,80.36,57.27,2020,Province
PAPUA BARAT DAYA,,,2020,Province
PAPUA,79.84,63.47,2020,Province
PAPUA SELATAN,,,2020,Province
PAPUA TENGAH,,,2020,Province
PAPUA PEGUNUNGAN,,,2020,Province
ACEH,79.4,48.36,2021,Province
SUMATERA UTARA,81.9,56.5,2021,Province
SUMATERA BARAT,80.67,55.04,2021,Province
RIAU,82.15,47.14,2021,Province
